productId,modelId,displayName,category,sport,price,salePrice,salePercentage,isFlash,onlineFrom,rating,ratingCount,link,mainImage,secondImage
H06477,LKH64,Trae Young 2.0 Basketball Shoes,shoes,Basketball,140,98,30%,False,2022-12-12T00:00:00.000Z,,-99,https://www.adidas.com/us/trae-young-2.0-basketball-shoes/H06477.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/4f390ba5fffc49e0b10eaebf01200d9d_9366/trae-young-2.0-basketball-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/902dae3eab6b4293988faebf011cf866_9366/trae-young-2.0-basketball-shoes.jpg"
FZ6252,KYQ81,Forum Mid Shoes,shoes,Lifestyle,120,120,0%,False,2022-12-18T00:00:00.000Z,4.671,1337,https://www.adidas.com/us/forum-mid-shoes/FZ6252.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/4124a97e24cb46f7a44caf1401046b3a_9366/forum-mid-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/8850abee39274cd59dbeaf140102da0e_9366/forum-mid-shoes.jpg"
B75807,BSZ08,Samba OG Shoes,shoes,Lifestyle,100,100,0%,False,2022-11-23T00:00:00.000Z,4.6926,1974,https://www.adidas.com/us/samba-og-shoes/B75807.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/ee99b4b9bde74f30a933a8bf011911ae_9366/samba-og-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/309a0c8f53dd45d3a3bea8bf0118aa6b_9366/samba-og-shoes.jpg"
FU8297,JAH67,Adilette Lite Slides,shoes,Lifestyle,35,35,0%,False,2019-12-01T00:00:00.000Z,4.7128,1772,https://www.adidas.com/us/adilette-lite-slides/FU8297.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/f6178cdb09d6471ead73aaee0124ae84_9366/adilette-lite-slides.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/b9e51d04fbe14d1a9c61aaee01102efc_9366/adilette-lite-slides.jpg"
GX2084,LZV72,NMD_V3 Shoes,shoes,Lifestyle,160,128,20%,False,2022-08-12T00:00:00.000Z,,-99,https://www.adidas.com/us/nmd_v3-shoes/GX2084.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/c39e18b1bf5b4af9af8eae8b009a9e3a_9366/nmd_v3-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/6a3a8b9092d04509b43bae8b009a2b1a_9366/nmd_v3-shoes.jpg"
HP2380,LWO08,Duramo 10 Running Shoes,shoes,Running,70,70,0%,False,2023-03-02T00:00:00.000Z,4.6079,459,https://www.adidas.com/us/duramo-10-running-shoes/HP2380.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/72da020270c1448aba3aaf8800aaa5c0_9366/duramo-10-running-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/942633dc43374bc49c54af8800aa5c92_9366/duramo-10-running-shoes.jpg"
HP6650,MBS53,RunFalcon Wide 3 Running Shoes,shoes,Running,65,65,0%,False,2023-04-01T00:00:00.000Z,,-99,https://www.adidas.com/us/runfalcon-wide-3-running-shoes/HP6650.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/e268cfd0a9634d3aa8c1af9e011a1b34_9366/runfalcon-wide-3-running-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/2dffec397b4b4ac79a6daf5f00fd6f34_9366/runfalcon-wide-3-running-shoes.jpg"
FZ5708,LWY35,NMD_R1 Shoes,shoes,Lifestyle,160,128,20%,False,2023-01-06T00:00:00.000Z,4.531,1859,https://www.adidas.com/us/nmd_r1-shoes/FZ5708.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/d3e18216215c4a02857faf1e00e3f4ee_9366/nmd_r1-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/1875701cc6184b809820af1e00e3a682_9366/nmd_r1-shoes.jpg"
GY6720,KYA48,TERREX Trailmaker GORE-TEX Hiking Shoes,shoes,Hiking,130,130,0%,False,2022-08-20T00:00:00.000Z,4.5907,364,https://www.adidas.com/us/terrex-trailmaker-gore-tex-hiking-shoes/GY6720.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/64e50d4dee9446178736ae8900dc0633_9366/terrex-trailmaker-gore-tex-hiking-shoes.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/e926402b0f6a42249cfcae9400912473_9366/terrex-trailmaker-gore-tex-hiking-shoes.jpg"
HQ8894,LZM96,Copa Pure+ Firm Ground Soccer Cleats,shoes,Football,280,280,0%,False,2023-04-20T00:00:00.000Z,,-99,https://www.adidas.com/us/copa-pure-plus-firm-ground-soccer-cleats/HQ8894.html,"https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/66ba6b2d762c4edea16eafab01360022_9366/copa-pure-plus-firm-ground-soccer-cleats.jpg","https://assets.adidas.com/images/w_280,h_280,f_auto,q_auto:sensitive/9234a440baf94376b169afab013ad232_9366/copa-pure-plus-firm-ground-soccer-cleats.jpg"
